"url_original_gsc","normalized_url","apex_host","clicks","impressions","ctr","position","page_type"
"https://alefotografo.com.br/blog/fotografia-em-preto-e-branco-como-tirar-fotos-lindas","https://www.alefotografo.com.br/blog/fotografia-em-preto-e-branco-como-tirar-fotos-lindas","SIM","4","2820","0.14%","6.13","BLOG"
"https://www.alefotografo.com.br/videos-para-empresas/ativa-logistica-apresenta-o-seu-centro-de-distribuicao-em-itapevi","https://www.alefotografo.com.br/videos-para-empresas/ativa-logistica-apresenta-o-seu-centro-de-distribuicao-em-itapevi","NAO","4","1827","0.22%","8.72","VIDEO_SERVICE"
"https://www.alefotografo.com.br/blog/dicas-fotografo-saia-do-fundo-branco-agora-1","https://www.alefotografo.com.br/blog/dicas-fotografo-saia-do-fundo-branco-agora-1","NAO","4","1657","0.24%","6.12","BLOG"
"https://www.alefotografo.com.br/blog/12-dicas-de-como-planejar-sua-festa-de-confraternizacao-fotografo-de-eventos","https://www.alefotografo.com.br/blog/12-dicas-de-como-planejar-sua-festa-de-confraternizacao-fotografo-de-eventos","NAO","4","1646","0.24%","8.63","BLOG"
"https://www.alefotografo.com.br/blog/personal-branding-como-estabelecer-sua-marca-pessoal","https://www.alefotografo.com.br/blog/personal-branding-como-estabelecer-sua-marca-pessoal","NAO","4","958","0.42%","11.28","BLOG"
"https://www.alefotografo.com.br/blog/fotografo-da-dicas-de-3-formas-de-destacar-seus-eventos","https://www.alefotografo.com.br/blog/fotografo-da-dicas-de-3-formas-de-destacar-seus-eventos","NAO","4","938","0.43%","7.39","BLOG"
"https://alefotografo.com.br/fotografo-corporativo/retratos-de-medicos","https://www.alefotografo.com.br/fotografo-corporativo/retratos-de-medicos","SIM","4","665","0.6%","6.14","MONEY"
"https://alefotografo.com.br/fotografo-corporativo/fotografo-de-retratos-corporativos","https://www.alefotografo.com.br/fotografo-corporativo/fotografo-de-retratos-corporativos","SIM","4","608","0.66%","44.77","MONEY"
"https://www.alefotografo.com.br/blog/fotografo-de-retrato-corporativo","https://www.alefotografo.com.br/blog/fotografo-de-retrato-corporativo","NAO","4","432","0.93%","22.9","BLOG"
"https://www.alefotografo.com.br/blog/profissional-liberal-conheca-7-dicas-para-superar-os-desafios-na-carreira","https://www.alefotografo.com.br/blog/profissional-liberal-conheca-7-dicas-para-superar-os-desafios-na-carreira","NAO","4","419","0.95%","6.54","BLOG"
"https://www.alefotografo.com.br/blog/categoria/fotos-de-ambientes","https://www.alefotografo.com.br/blog/categoria/fotos-de-ambientes","NAO","4","65","6.15%","10.95","BLOG"
"https://www.alefotografo.com.br/blog/5-fatores-que-influenciam-o-seu-perfil-no-linkedin-fotografo-alexandre-machado","https://www.alefotografo.com.br/blog/5-fatores-que-influenciam-o-seu-perfil-no-linkedin-fotografo-alexandre-machado","NAO","3","3855","0.08%","4.67","BLOG"
"https://www.alefotografo.com.br/blog/contratar-fotografos-pode-deixar-seu-evento-mais-divertido","https://www.alefotografo.com.br/blog/contratar-fotografos-pode-deixar-seu-evento-mais-divertido","NAO","3","705","0.43%","12.89","BLOG"
"https://www.alefotografo.com.br/blog/instituto-rauen","https://www.alefotografo.com.br/blog/instituto-rauen","NAO","3","690","0.43%","8.61","BLOG"
"https://www.alefotografo.com.br/blog/fotografo-explica-porque-sua-empresa-deve-obter-fotos-tiradas-com-drones","https://www.alefotografo.com.br/blog/fotografo-explica-porque-sua-empresa-deve-obter-fotos-tiradas-com-drones","NAO","3","530","0.57%","5.63","BLOG"
"https://www.alefotografo.com.br/loja/pacote-prata-5-retratos-profissionais-tratamento-profissional-de-imagem","https://www.alefotografo.com.br/loja/pacote-prata-5-retratos-profissionais-tratamento-profissional-de-imagem","NAO","3","308","0.97%","18.41","LEGACY"
"https://www.alefotografo.com.br/blog/categoria/fotografo-de-eventos-corporativos","https://www.alefotografo.com.br/blog/categoria/fotografo-de-eventos-corporativos","NAO","3","136","2.21%","11.52","BLOG"
"https://www.alefotografo.com.br/blog/mindfulness-saiba-o-que-e-e-como-essa-tecnica-pode-ajudar-voce-em-sua-vida-pessoal-e-profissional","https://www.alefotografo.com.br/blog/mindfulness-saiba-o-que-e-e-como-essa-tecnica-pode-ajudar-voce-em-sua-vida-pessoal-e-profissional","NAO","3","110","2.73%","12.37","BLOG"
"https://alefotografo.com.br/fotografo-corporativo/fotos-para-restaurantes","https://www.alefotografo.com.br/fotografo-corporativo/fotos-para-restaurantes","SIM","3","70","4.29%","8.84","MONEY"
"https://www.alefotografo.com.br/blog/categoria/foto-para-linkedin?per_page=12","https://www.alefotografo.com.br/blog/categoria/foto-para-linkedin","NAO","3","46","6.52%","4.7","BLOG"
"https://www.alefotografo.com.br/blog/fotografo-ensina-que-foto-profissional-aparece-14-vezes-mais-do-que-uma-foto-amadora-no-linkedin","https://www.alefotografo.com.br/blog/fotografo-ensina-que-foto-profissional-aparece-14-vezes-mais-do-que-uma-foto-amadora-no-linkedin","NAO","2","3034","0.07%","4.6","BLOG"
"https://www.alefotografo.com.br/blog/sua-empresa-funciona-sem-voce-aprenda-a-profissionalizar-a-gestao-para-que-ela-continue-a-existir-sem-voce","https://www.alefotografo.com.br/blog/sua-empresa-funciona-sem-voce-aprenda-a-profissionalizar-a-gestao-para-que-ela-continue-a-existir-sem-voce","NAO","2","877","0.23%","7.9","BLOG"
"https://alefotografo.com.br/fotografo-corporativo/fotografia-institucional-em-saopaulo","https://www.alefotografo.com.br/fotografo-corporativo/fotografia-institucional-em-saopaulo","SIM","2","815","0.25%","17.5","MONEY"
"https://www.alefotografo.com.br/blog/categoria/foto-para-linkedin","https://www.alefotografo.com.br/blog/categoria/foto-para-linkedin","NAO","2","636","0.31%","9.5","BLOG"
"https://www.alefotografo.com.br/loja/pacote-influencer","https://www.alefotografo.com.br/loja/pacote-influencer","NAO","2","320","0.62%","12.49","LEGACY"
"https://www.alefotografo.com.br/blog/uso-de-drones-e-eventos-corporativos-tem-feito-toda-a-diferenca","https://www.alefotografo.com.br/blog/uso-de-drones-e-eventos-corporativos-tem-feito-toda-a-diferenca","NAO","2","255","0.78%","8.65","BLOG"
"https://www.alefotografo.com.br/videos-para-empresas/salomao-concursos-aulao-em-sao-paulo","https://www.alefotografo.com.br/videos-para-empresas/salomao-concursos-aulao-em-sao-paulo","NAO","2","196","1.02%","7.61","VIDEO_SERVICE"
"https://www.alefotografo.com.br/videos-para-empresas/categoria/video-institucional-de-advocacia","https://www.alefotografo.com.br/videos-para-empresas/categoria/video-institucional-de-advocacia","NAO","2","69","2.9%","7.7","VIDEO_SERVICE"
"https://www.alefotografo.com.br/blog/tags?tag=fotografia de clinica de 
psicologia","https://www.alefotografo.com.br/blog/tags","NAO","2","37","5.41%","8.16","BLOG"
"https://www.alefotografo.com.br/videos-para-empresas/retrato-corporativo-ensaio-fotografico","https://www.alefotografo.com.br/videos-para-empresas/retrato-corporativo-ensaio-fotografico","NAO","1","3446","0.03%","15.38","VIDEO_SERVICE"
"https://www.alefotografo.com.br/blog/headhunter-o-que-e-o-que-faz-e-qual-seu-papel-no-mundo-corporativo","https://www.alefotografo.com.br/blog/headhunter-o-que-e-o-que-faz-e-qual-seu-papel-no-mundo-corporativo","NAO","1","781","0.13%","10.64","BLOG"
"https://www.alefotografo.com.br/blog/como-manter-sua-imagem-profissional-em-tempos-de-home-office","https://www.alefotografo.com.br/blog/como-manter-sua-imagem-profissional-em-tempos-de-home-office","NAO","1","420","0.24%","4.74","BLOG"
"https://www.alefotografo.com.br/fotografo-corporativo","https://www.alefotografo.com.br/fotografo-corporativo","NAO","1","299","0.33%","35.15","MONEY"
"https://www.alefotografo.com.br/videos-para-empresas/curso-de-prestacao-de-contas-eleitorais-com-a-professora-rita-goncalves","https://www.alefotografo.com.br/videos-para-empresas/curso-de-prestacao-de-contas-eleitorais-com-a-professora-rita-goncalves","NAO","1","249","0.4%","6.88","VIDEO_SERVICE"
"https://www.alefotografo.com.br/videos-para-empresas/renove-mudancas","https://www.alefotografo.com.br/videos-para-empresas/renove-mudancas","NAO","1","170","0.59%","9.48","VIDEO_SERVICE"
"https://www.alefotografo.com.br/blog/conheca-as-melhores-praticas-para-bares-e-restaurantes-superarem-os-desafios-do-setor","https://www.alefotografo.com.br/blog/conheca-as-melhores-praticas-para-bares-e-restaurantes-superarem-os-desafios-do-setor","NAO","1","128","0.78%","8.68","BLOG"
"https://www.alefotografo.com.br/videos-para-empresas/nitriflex-industria-quimica-de-polimeros-especiais-e-borrachas-nitrilicas","https://www.alefotografo.com.br/videos-para-empresas/nitriflex-industria-quimica-de-polimeros-especiais-e-borrachas-nitrilicas","NAO","1","126","0.79%","9.25","VIDEO_SERVICE"
"https://www.alefotografo.com.br/fotografo-corporativo/categoria/retrato-corporativo","https://www.alefotografo.com.br/fotografo-corporativo/categoria/retrato-corporativo","NAO","1","101","0.99%","21.18","MONEY"
"https://www.alefotografo.com.br/videos-para-empresas/captar-a-energia-de-um-grande-evento-e-muito-mais-do-que-apertar-o-rec","https://www.alefotografo.com.br/videos-para-empresas/captar-a-energia-de-um-grande-evento-e-muito-mais-do-que-apertar-o-rec","NAO","1","95","1.05%","12.61","VIDEO_SERVICE"
"https://www.alefotografo.com.br/videos-para-empresas/curso-de-prestacao-de-contas-eleitorais-2026-com-professora-rita-producao-ale-fotografo","https://www.alefotografo.com.br/videos-para-empresas/curso-de-prestacao-de-contas-eleitorais-2026-com-professora-rita-producao-ale-fotografo","NAO","1","93","1.08%","7.28","VIDEO_SERVICE"
"https://alefotografo.com.br/blog/tags?tag=ensaio fotografico masculino","https://www.alefotografo.com.br/blog/tags","SIM","1","92","1.09%","6.7","BLOG"
"https://www.alefotografo.com.br/videos-para-empresas","https://www.alefotografo.com.br/videos-para-empresas","NAO","1","79","1.27%","10.42","VIDEO_SERVICE"
"https://www.alefotografo.com.br/blog/fotografia-em-preto-e-branco-como-tirar-fotos-lindas?per_page=234?option%3Dcom_content&amp;view=category&amp;id=1&amp;layout=blog&amp;Itemid=50","https://www.alefotografo.com.br/blog/fotografia-em-preto-e-branco-como-tirar-fotos-lindas","NAO","1","62","1.61%","7.23","BLOG"
"https://alefotografo.com.br/videos-para-empresas/video-institucional-bmx-logistica","https://www.alefotografo.com.br/videos-para-empresas/video-institucional-bmx-logistica","SIM","1","51","1.96%","8.41","VIDEO_SERVICE"
"https://www.alefotografo.com.br/videos-para-empresas/categoria/video-teaser-de-festa-de-confraternizacao","https://www.alefotografo.com.br/videos-para-empresas/categoria/video-teaser-de-festa-de-confraternizacao","NAO","1","50","0.02%","6.92","VIDEO_SERVICE"
"https://www.alefotografo.com.br/blog/categoria/fotos-para-cardapio","https://www.alefotografo.com.br/blog/categoria/fotos-para-cardapio","NAO","1","47","2.13%","8.53","BLOG"
"https://www.alefotografo.com.br/fotografo-corporativo/categoria/fotografo-de-eventos-corporativos","https://www.alefotografo.com.br/fotografo-corporativo/categoria/fotografo-de-eventos-corporativos","NAO","1","46","2.17%","27.57","MONEY"
"https://www.alefotografo.com.br/blog","https://www.alefotografo.com.br/blog","NAO","1","41","2.44%","6.51","BLOG"
"https://alefotografo.com.br/videos-para-empresas/video-manifesto-empreendimento-estrutura-e-proposito","https://www.alefotografo.com.br/videos-para-empresas/video-manifesto-empreendimento-estrutura-e-proposito","SIM","1","40","2.5%","7.5","VIDEO_SERVICE"
"https://www.alefotografo.com.br/videos-para-empresas/video-manifesto-empreendimento-estrutura-e-proposito?per_page=182?option%3Dcom_content&amp;view=category&amp;id=1&amp;layout=blog&amp;Itemid=50","https://www.alefotografo.com.br/videos-para-empresas/video-manifesto-empreendimento-estrutura-e-proposito","NAO","1","39","2.56%","7.41","VIDEO_SERVICE"
"https://www.alefotografo.com.br/videos-para-empresas/video-institucional-bmx-logistica?fb_comment_id=1362610897157528_1371776049574346?utm_source%3Dpost&amp;utm_medium=site?option%3Dcom_content&amp;view=category&amp;id=1&amp;layout=blog&amp;Itemid=50","https://www.alefotografo.com.br/videos-para-empresas/video-institucional-bmx-logistica","NAO","1","38","2.63%","8.53","VIDEO_SERVICE"
"https://www.alefotografo.com.br/videos-para-empresas/categoria/video-de-eventos-corporativos","https://www.alefotografo.com.br/videos-para-empresas/categoria/video-de-eventos-corporativos","NAO","1","27","3.7%","18.81","VIDEO_SERVICE"
"https://www.alefotografo.com.br/blog?per_page=65","https://www.alefotografo.com.br/blog","NAO","1","19","5.26%","10.95","BLOG"
